sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
164945	ADIG37	ADIG37_trim_1.fastq.gz	1c118e7041b610a879be608c006e912637e97a5c2e8a02fe827806fc55ef5fec	ADIG37_trim_2.fastq.gz	f19f51f601e71baf744702258ab6f770ccb97f249e2e3b91b3e1b7353194ccdc	835	20230426T085852_jquijano	1.0847955777446887	1.0273957937967748	0.0076202154681615135	1.0258970541006103	0.007522894708670306	0.0014695434683172268	8.758868354208637e-05	2.9196227847362122e-05	9.732075949120707e-06	1.0	6.812453164384494e-05	0	0	0.007649411696008876	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 digitifera	16.31042000	120.02948000	20211027	NoData
164958	AMIL10	AMILCANJ_trim_1.fastq.gz	64b13da700d22c5b7c0138db97a8d26c0e3258bee507b65baaa5f430862efc00	AMILCANJ_trim_2.fastq.gz	bfd070ccbf7aaee92b8496b5f0c90190673b6f10b079acf347b0d7eb58a1aeb4	835	20230426T085852_jquijano	1.1105330995482994	1.0292386116884775	0.01040420813060997	1.0283793355705477	0.010346148933452547	0.0008592761179298413	5.805919715742171e-05	0.0	0.0	1.0	8.12828760203904e-05	0	0	0.009533320173248644	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.29466000	120.01467000	20211005	NoData
164977	AMIL29	AMILMAGN_trim_1.fastq.gz	97e61f8a7680e90c21ed3a7e987c2902c0e517a5325e30156a87c64b7db95d90	AMILMAGN_trim_2.fastq.gz	162ec8e2f895276394add007458581c5b97b3a60307954f546a86faa46f7a392	835	20230426T085852_jquijano	1.1157752441258604	1.027356325928034	0.012931111150637662	1.0261112395724017	0.012859963358887248	0.001245086355632237	7.114779175041355e-05	0.0	0.0	1.0	0.0001245086355632237	0	0	0.012184059337258319	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.31487000	120.03128000	20211005	NoData
164974	AMIL26	AMILMAGK_trim_1.fastq.gz	85fa657ec5fb38da11b5d2ff8265c6622d915ef6a16e6b10072b7cf25da24461	AMILMAGK_trim_2.fastq.gz	8c5b44b39420c2abe1f8c33749c4d175b3fde68e53fecf9017a4df8018ac0869	835	20230426T085852_jquijano	1.0958962612105447	1.0300500834724542	0.008696664984276119	1.0285488734454065	0.008606074724023242	0.0015012100270476634	9.059026025287624e-05	0.0	0.0	1.0	9.059026025287624e-05	0	0	0.010327289668827892	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.31487000	120.03128000	20211005	NoData
164960	AMIL12	AMILCANL_trim_1.fastq.gz	803c58d2fbdef8f57485773712b5694bc9c01cbfeac117aa9041d24847a7e6ac	AMILCANL_trim_2.fastq.gz	b6493b243f2aa7455c27f9742e353b622aa739c55143f7ffe1d28b97596a8b4e	835	20230426T085852_jquijano	1.084534799294679	1.0216263873042215	0.007623690488538533	1.0198371538222175	0.007545897728451405	0.0017892334820039414	7.779276008712788e-05	0.0	0.0	1.0	0.00011668914013069183	0	0	0.0082719634892646	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.29466000	120.01467000	20211005	NoData
165002	ATEN24	ATEN24_trim_1.fastq.gz	769e619c79e738cbfadeea90d64ece6f92b74f791413fd833449e232b9db3fc9	ATEN24_trim_2.fastq.gz	5e8bbf67cbfeff99fbfa82f3e2e34a74bf13f3ff1c415a3e5ca5e29775898626	835	20230426T085852_jquijano	1.0791820556706604	1.0239730654895955	0.007927213764525718	1.0236465183316819	0.007893433024051887	0.0003265471579137015	3.378074047383119e-05	0.0	0.0	1.0	5.6301234123051975e-05	0	0	0.03441131429600937	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 tenuis	16.29473000	120.01448000	20211113	NoData
164912	ADIG04	ADIG4_trim_1.fastq.gz	c436dc9b0f778c17eaa1fe2d5babf3a84c34f7c9b3540cdd0406e0585db667ce	ADIG4_trim_2.fastq.gz	0aeade02b8ace1a4be0fe539ae5c4ec42c633f5b8c6357ded63ada59615026b9	835	20230426T085852_jquijano	1.0868752087275966	1.0225648447066682	0.008382500278303463	1.0208282311031949	0.008326839585884448	0.0017366136034732273	5.566069241901369e-05	0.0	0.0	1.0	6.679283090281643e-05	0	0	0	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 digitifera	16.31042000	120.02948000	20211027	NoData
165008	ATEN30	ATEN30_trim_1.fastq.gz	2a312166a15a151442a4373daaa5f49904cdc63c0eb84670b70968fc305dd5fb	ATEN30_trim_2.fastq.gz	792b13c3643ebc5fc1bfa5109db2268440f541efc62d00efa86f1de371e5ceba	835	20230426T085852_jquijano	1.0787405640406043	1.0215413529952395	0.0077243202494914134	1.021200574160703	0.007693340355442651	0.0003407788345363859	3.0979894048762353e-05	0.0	0.0	1.0	5.1633156747937253e-05	0	0	0	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 tenuis	16.29473000	120.01448000	20211113	NoData
164949	AMIL01	AMILCANA_trim_1.fastq.gz	d86ed866cb9eae9f544dff29743c1b5b2aa8a933d5635c1128570fdc13dd31af	AMILCANA_trim_2.fastq.gz	ee041f046e44088c35236aa1a9f6ad4b15e159b38a86915d6d3106b2f6dac4b4	835	20230426T085852_jquijano	1.076170332391802	1.019678451426353	0.008728129476178365	1.0187012222058607	0.008674582669576042	0.000977229220492363	5.3546806602321256e-05	0.0	0.0	1.0	6.693350825290156e-05	0	0	0	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.29466000	120.01467000	20211005	NoData
164947	ADIG39	ADIG39_trim_1.fastq.gz	c59f138c98ee706b5dd5375ac8bea3bb3a616f70e4dd88d32078804471ccbb76	ADIG39_trim_2.fastq.gz	d08326ddad39c865d07bca93039a6d290dc9f2011466aeb13c9157649ce4e723	835	20230426T085852_jquijano	1.081821506544169	1.0278390389325414	0.007624704930568639	1.026874868396263	0.007580375250739751	0.0009641705362783017	4.4329679828887434e-05	0.0	0.0	1.0	5.54120997861093e-05	0	0	0	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 digitifera	16.31042000	120.02948000	20211027	NoData
