Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ATEN16,BT4,Pre-exposure,Heat-stressed,98.754,200.538,49.244532208359516
ATEN16,BT5,Pre-exposure,Heat-stressed,114.128,182.748,62.45102545581894
ATEN16,BT5,Pre-exposure,Heat-stressed,85.611,204.719,41.81878575022348
ATEN16,BT6,Pre-exposure,Control,87.628,204.218,42.90904817401013
ATEN16,BT6,Pre-exposure,Control,115.526,204.58,56.46984064913481
ATEN16,BT7,Pre-exposure,Heat-stressed,105.719,204.128,51.790543188587556
ATEN16,BT7,Pre-exposure,Heat-stressed,114.997,204.199,56.316142586398556
ATEN16,BT8,Pre-exposure,Control,136.44,201.519,67.70577464159707
ATEN16,BT8,Pre-exposure,Control,121.482,203.937,59.56839612233189
ATEN17,BT1,Pre-exposure,Control,66.536,196.431,33.87245394056946
ATEN17,BT1,Pre-exposure,Control,67.805,195.695,34.6483047599581
ATEN17,BT2,Pre-exposure,Control,96.681,196.401,49.22632776818855
ATEN17,BT2,Pre-exposure,Control,70.114,189.154,37.067151633060895
ATEN17,BT3,Pre-exposure,Heat-stressed,152.924,197.267,77.5213289602417
ATEN17,BT3,Pre-exposure,Heat-stressed,133.593,194.955,68.52504424097867
ATEN17,BT4,Pre-exposure,Heat-stressed,115.341,194.956,59.16258027452348
ATEN17,BT4,Pre-exposure,Heat-stressed,64.78,196.846,32.908974528311475
ATEN17,BT5,Pre-exposure,Heat-stressed,59.671,183.901,32.447349389073466
ATEN17,BT5,Pre-exposure,Heat-stressed,110.081,210.732,52.237439022075435
ATEN17,BT6,Pre-exposure,Control,98.291,210.284,46.742025070856556
ATEN17,BT6,Pre-exposure,Control,95.913,209.936,45.68678073317582
ATEN17,BT7,Pre-exposure,Heat-stressed,119.947,209.435,57.27170721226156
ATEN17,BT7,Pre-exposure,Heat-stressed,150.404,209.482,71.79805424809769
ATEN17,BT8,Pre-exposure,Control,118.722,210.136,56.49769672973694
ATEN17,BT8,Pre-exposure,Control,101.901,209.512,48.637309557447786
ATEN18,BT1,Pre-exposure,Control,86.507,167.392,51.67929172242401
ATEN18,BT1,Pre-exposure,Control,133.169,207.131,64.2921629307057
ATEN18,BT2,Pre-exposure,Control,147.579,205.385,71.85480926065682
ATEN18,BT2,Pre-exposure,Control,89.826,208.273,43.12897014975537
ATEN18,BT3,Pre-exposure,Heat-stressed,167.032,207.426,80.52606712755393
ATEN18,BT3,Pre-exposure,Heat-stressed,129.543,207.076,62.55819119550311
ATEN18,BT4,Pre-exposure,Heat-stressed,107.564,207.343,51.87732404759263
ATEN18,BT4,Pre-exposure,Heat-stressed,128.501,207.742,61.85605221861733
ATEN18,BT5,Pre-exposure,Heat-stressed,87.947,171.596,51.25236019487633
ATEN18,BT5,Pre-exposure,Heat-stressed,68.136,172.522,39.494093506915064
ATEN18,BT6,Pre-exposure,Control,72.855,195.137,37.335308014369396
ATEN18,BT6,Pre-exposure,Control,158.697,195.39,81.22063565177339
ATEN18,BT7,Pre-exposure,Heat-stressed,159.464,192.202,82.96687859647662
ATEN18,BT7,Pre-exposure,Heat-stressed,98.095,183.342,53.50383436419369
ATEN18,BT8,Pre-exposure,Control,110.222,194.645,56.62719309512189
ATEN18,BT8,Pre-exposure,Control,109.096,194.635,56.051583733655306
ATEN19,BT1,Pre-exposure,Control,87.252,179.718,48.549394050679396
ATEN19,BT1,Pre-exposure,Control,76.871,207.211,37.09793398999087
ATEN19,BT2,Pre-exposure,Control,116.803,206.033,56.691403804244956
