Species,Day elapsed,Colony,N fragment,Bleached fragments,Healthy fragments,Fragment ID,Fragment #,status
A. tenuis,8,ATEN13,8,0,8,ATEN13_5,5,1
A. tenuis,8,ATEN13,8,0,8,ATEN13_6,6,1
A. tenuis,8,ATEN13,8,0,8,ATEN13_7,7,1
A. tenuis,8,ATEN13,8,0,8,ATEN13_8,8,1
A. tenuis,8,ATEN14,8,0,8,ATEN14_1,1,1
A. tenuis,8,ATEN14,8,0,8,ATEN14_2,2,1
A. tenuis,8,ATEN14,8,0,8,ATEN14_3,3,1
A. tenuis,8,ATEN14,8,0,8,ATEN14_4,4,1
A. tenuis,8,ATEN14,8,0,8,ATEN14_5,5,1
A. tenuis,8,ATEN14,8,0,8,ATEN14_6,6,1
A. tenuis,8,ATEN14,8,0,8,ATEN14_7,7,1
A. tenuis,8,ATEN14,8,0,8,ATEN14_8,8,1
A. tenuis,8,ATEN15,8,0,8,ATEN15_1,1,1
A. tenuis,8,ATEN15,8,0,8,ATEN15_2,2,1
A. tenuis,8,ATEN15,8,0,8,ATEN15_3,3,1
A. tenuis,8,ATEN15,8,0,8,ATEN15_4,4,1
A. tenuis,8,ATEN15,8,0,8,ATEN15_5,5,1
A. tenuis,8,ATEN15,8,0,8,ATEN15_6,6,1
A. tenuis,8,ATEN15,8,0,8,ATEN15_7,7,1
A. tenuis,8,ATEN15,8,0,8,ATEN15_8,8,1
A. tenuis,8,ATEN16,8,0,8,ATEN16_1,1,1
A. tenuis,8,ATEN16,8,0,8,ATEN16_2,2,1
A. tenuis,8,ATEN16,8,0,8,ATEN16_3,3,1
A. tenuis,8,ATEN16,8,0,8,ATEN16_4,4,1
A. tenuis,8,ATEN16,8,0,8,ATEN16_5,5,1
A. tenuis,8,ATEN16,8,0,8,ATEN16_6,6,1
A. tenuis,8,ATEN16,8,0,8,ATEN16_7,7,1
A. tenuis,8,ATEN16,8,0,8,ATEN16_8,8,1
A. tenuis,8,ATEN17,8,1,7,ATEN17_1,1,1
A. tenuis,8,ATEN17,8,1,7,ATEN17_2,2,1
A. tenuis,8,ATEN17,8,1,7,ATEN17_3,3,1
A. tenuis,8,ATEN17,8,1,7,ATEN17_4,4,1
A. tenuis,8,ATEN17,8,1,7,ATEN17_5,5,1
A. tenuis,8,ATEN17,8,1,7,ATEN17_6,6,1
A. tenuis,8,ATEN17,8,1,7,ATEN17_7,7,1
A. tenuis,8,ATEN17,8,1,7,ATEN17_8,8,2
A. tenuis,8,ATEN18,8,0,8,ATEN18_1,1,1
A. tenuis,8,ATEN18,8,0,8,ATEN18_2,2,1
A. tenuis,8,ATEN18,8,0,8,ATEN18_3,3,1
A. tenuis,8,ATEN18,8,0,8,ATEN18_4,4,1
A. tenuis,8,ATEN18,8,0,8,ATEN18_5,5,1
A. tenuis,8,ATEN18,8,0,8,ATEN18_6,6,1
A. tenuis,8,ATEN18,8,0,8,ATEN18_7,7,1
A. tenuis,8,ATEN18,8,0,8,ATEN18_8,8,1
A. tenuis,8,ATEN19,7,0,7,ATEN19_1,1,1
A. tenuis,8,ATEN19,7,0,7,ATEN19_2,2,1
A. tenuis,8,ATEN19,7,0,7,ATEN19_3,3,1
A. tenuis,8,ATEN19,7,0,7,ATEN19_4,4,1
A. tenuis,8,ATEN19,7,0,7,ATEN19_5,5,1
A. tenuis,8,ATEN19,7,0,7,ATEN19_6,6,1
A. tenuis,8,ATEN19,7,0,7,ATEN19_7,7,1
