Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ADIG33,BT5,Pre-exposure,Heat-stressed,115.085,193.686,59.418336895800415
ADIG33,BT6,Pre-exposure,Control,126.569,186.536,67.85231805120728
ADIG33,BT6,Pre-exposure,Control,93.563,198.031,47.24664320232691
ADIG33,BT7,Pre-exposure,Heat-stressed,119.325,184.695,64.60651344107853
ADIG33,BT7,Pre-exposure,Heat-stressed,106.625,195.552,54.52513909343807
ADIG33,BT8,Pre-exposure,Control,124.112,183.478,67.64407721906713
ADIG33,BT8,Pre-exposure,Control,120.428,195.727,61.528557633847136
ADIG34,BT1,Pre-exposure,Control,115.69,171.532,67.44514143133642
ADIG34,BT1,Pre-exposure,Control,118.651,180.301,65.80717799679425
ADIG34,BT2,Pre-exposure,Control,126.553,175.967,71.91859837355867
ADIG34,BT2,Pre-exposure,Control,105.282,184.063,57.198893856994616
ADIG34,BT3,Pre-exposure,Heat-stressed,126.715,185.427,68.33686572074186
ADIG34,BT3,Pre-exposure,Heat-stressed,150.746,195.878,76.95912762025343
ADIG34,BT4,Pre-exposure,Heat-stressed,110.879,181.903,60.95501448574241
ADIG34,BT4,Pre-exposure,Heat-stressed,119.593,189.001,63.2763847810329
ADIG34,BT5,Pre-exposure,Heat-stressed,NA,NA,NA
ADIG34,BT5,Pre-exposure,Heat-stressed,NA,NA,NA
ADIG34,BT6,Pre-exposure,Control,126.736,180.443,70.23603021452757
ADIG34,BT6,Pre-exposure,Control,132.713,188.42,70.43466723277784
ADIG34,BT7,Pre-exposure,Heat-stressed,99.8,186.835,53.41611582412289
ADIG34,BT7,Pre-exposure,Heat-stressed,140.647,198.493,70.85741058878651
ADIG34,BT8,Pre-exposure,Control,118.386,176.476,67.08334277748816
ADIG34,BT8,Pre-exposure,Control,114.81,186.065,61.704243140837875
ADIG35,BT1,Pre-exposure,Control,111.392,179.217,62.15481790231953
ADIG35,BT1,Pre-exposure,Control,100.297,186.179,53.87127441870457
ADIG35,BT2,Pre-exposure,Control,160.882,209.181,76.91042685521151
ADIG35,BT2,Pre-exposure,Control,139.043,216.288,64.28604453321498
ADIG35,BT3,Pre-exposure,Heat-stressed,122.555,188.767,64.92395386905551
ADIG35,BT3,Pre-exposure,Heat-stressed,129.373,199.508,64.84602121218195
ADIG35,BT4,Pre-exposure,Heat-stressed,116.893,194.363,60.14159073486209
ADIG35,BT4,Pre-exposure,Heat-stressed,133.623,202.197,66.08555023071558
ADIG35,BT5,Pre-exposure,Heat-stressed,120.781,178.195,67.78024074749572
ADIG35,BT5,Pre-exposure,Heat-stressed,100.894,187.061,53.936416463078885
ADIG35,BT6,Pre-exposure,Control,146.416,192.713,75.97619257652572
ADIG35,BT6,Pre-exposure,Control,137.19,202.223,67.84094786448624
ADIG35,BT7,Pre-exposure,Heat-stressed,117.042,185.648,63.045117641989144
ADIG35,BT7,Pre-exposure,Heat-stressed,127.5,194.712,65.4813262664859
ADIG35,BT8,Pre-exposure,Control,110.323,191.938,57.47845658493888
ADIG35,BT8,Pre-exposure,Control,121.82,201.394,60.48839588071143
ADIG36,BT1,Pre-exposure,Control,106.796,190.749,55.98771160006082
ADIG36,BT1,Pre-exposure,Control,109.277,198.635,55.01397034762253
ADIG36,BT2,Pre-exposure,Control,123.148,191.687,64.24431495093563
ADIG36,BT2,Pre-exposure,Control,140.938,199.986,70.47393317532227
ADIG36,BT3,Pre-exposure,Heat-stressed,136.925,191.915,71.34668994085925
ADIG36,BT3,Pre-exposure,Heat-stressed,128.567,200.053,64.26646938561281
ADIG36,BT4,Pre-exposure,Heat-stressed,129.135,188.772,68.4079206662005
ADIG36,BT4,Pre-exposure,Heat-stressed,128.098,196.488,65.19380318390947
ADIG36,BT5,Pre-exposure,Heat-stressed,111.406,194.056,57.4092014676176
ADIG36,BT5,Pre-exposure,Heat-stressed,106.766,201.943,52.86937403128606
ADIG36,BT6,Pre-exposure,Control,113.092,184.349,61.34668482063912
ADIG36,BT6,Pre-exposure,Control,119.516,189.454,63.08444266154317
ADIG36,BT7,Pre-exposure,Heat-stressed,139.444,189.277,73.6719199902788
ADIG36,BT7,Pre-exposure,Heat-stressed,93.192,199.621,46.684467065088334
ADIG36,BT8,Pre-exposure,Control,121.16,178.949,67.7064415000922
ADIG36,BT8,Pre-exposure,Control,129.917,190.324,68.26096551144364
ADIG37,BT1,Pre-exposure,Control,121.337,171.155,70.89305015921241
ADIG37,BT1,Pre-exposure,Control,150.683,180.224,83.6087313565341
ADIG37,BT2,Pre-exposure,Control,75.911,188.427,40.28668927489161
ADIG37,BT2,Pre-exposure,Control,129.471,198.068,65.36694468566351
ADIG37,BT3,Pre-exposure,Heat-stressed,146.476,190.243,76.99416010050304
ADIG37,BT3,Pre-exposure,Heat-stressed,131.808,201.423,65.43840574313758
ADIG37,BT4,Pre-exposure,Heat-stressed,145.094,188.291,77.05838303477066
ADIG37,BT4,Pre-exposure,Heat-stressed,130.369,197.166,66.12144081636794
ADIG37,BT5,Pre-exposure,Heat-stressed,90.24,179.389,50.30408776457864
ADIG37,BT5,Pre-exposure,Heat-stressed,128.647,187.318,68.6783971641807
ADIG37,BT6,Pre-exposure,Control,117.346,185.245,63.34637911954438
ADIG37,BT6,Pre-exposure,Control,98.448,194.283,50.67247263013234
ADIG37,BT7,Pre-exposure,Heat-stressed,139.617,186.447,74.88294260567345
ADIG37,BT7,Pre-exposure,Heat-stressed,83.214,198.641,41.891653787485964
ADIG37,BT8,Pre-exposure,Control,94.652,188.698,50.16057403894053
ADIG37,BT8,Pre-exposure,Control,152.649,199.865,76.37605383633954
ADIG38,BT1,Pre-exposure,Control,65.183,181.396,35.93408895455248
ADIG38,BT1,Pre-exposure,Control,58.437,190.629,30.65483216089892
ADIG38,BT2,Pre-exposure,Control,133.983,193.437,69.26441166891546
ADIG38,BT2,Pre-exposure,Control,145.518,201.665,72.15828229985371
ADIG38,BT3,Pre-exposure,Heat-stressed,99.726,193.123,51.63859302102806
ADIG38,BT3,Pre-exposure,Heat-stressed,101.822,201.174,50.61389642796783
ADIG38,BT4,Pre-exposure,Heat-stressed,141.161,194.742,72.4861611773526
ADIG38,BT4,Pre-exposure,Heat-stressed,148.975,203.195,73.31627254607643
ADIG38,BT5,Pre-exposure,Heat-stressed,129.886,186.61,69.60291517067681
ADIG38,BT5,Pre-exposure,Heat-stressed,119.569,195.052,61.30108894038513
ADIG38,BT6,Pre-exposure,Control,118.387,183.741,64.4314551461024
ADIG38,BT6,Pre-exposure,Control,133.622,195.081,68.49565052465387
ADIG38,BT7,Pre-exposure,Heat-stressed,107.851,175.863,61.32671454484456
ADIG38,BT7,Pre-exposure,Heat-stressed,108.889,183.957,59.19263740982947
ADIG38,BT8,Pre-exposure,Control,109.363,174.027,62.84254742080252
ADIG38,BT8,Pre-exposure,Control,116.562,182.938,63.71666903541091
ADIG39,BT1,Pre-exposure,Control,92.177,179.068,51.47597560703196
ADIG39,BT1,Pre-exposure,Control,62.055,188.289,32.95731561588834
ADIG39,BT2,Pre-exposure,Control,102.583,196.441,52.2207685768246
ADIG39,BT2,Pre-exposure,Control,108.849,201.813,53.93557402149515
ADIG39,BT3,Pre-exposure,Heat-stressed,148.339,201.635,73.56808093832916
ADIG39,BT3,Pre-exposure,Heat-stressed,116.197,209.983,55.33638437397313
ADIG39,BT4,Pre-exposure,Heat-stressed,71.037,190.036,37.38081205666295
ADIG39,BT4,Pre-exposure,Heat-stressed,128.695,200.569,64.16495071521521
ADIG39,BT5,Pre-exposure,Heat-stressed,125.793,179.4,70.11872909698997
ADIG39,BT5,Pre-exposure,Heat-stressed,87.003,187.238,46.466529230177635
ADIG39,BT6,Pre-exposure,Control,115.862,184.79,62.699280264083555
ADIG39,BT6,Pre-exposure,Control,119.192,195.774,60.88244608579279
ADIG39,BT7,Pre-exposure,Heat-stressed,83.924,172.713,48.5915941475164
ADIG39,BT7,Pre-exposure,Heat-stressed,75.246,182.523,41.22548939037819
ADIG39,BT8,Pre-exposure,Control,142.875,188.89,75.63926094552386
ADIG39,BT8,Pre-exposure,Control,113.294,202.01,56.0833622097916
ADIG40,BT1,Pre-exposure,Control,81.379,178.106,45.69132988220498
ADIG40,BT1,Pre-exposure,Control,108.072,187.31,57.696866157706474
ADIG40,BT2,Pre-exposure,Control,97.211,187.824,51.75643155294317
ADIG40,BT2,Pre-exposure,Control,106.354,197.936,53.73150917468272
ADIG40,BT3,Pre-exposure,Heat-stressed,105.927,179.387,59.04942944583499
ADIG40,BT3,Pre-exposure,Heat-stressed,149.421,191.439,78.0514942096438
ADIG40,BT4,Pre-exposure,Heat-stressed,126.611,184.966,68.45095855454517
ADIG40,BT4,Pre-exposure,Heat-stressed,134.656,194.941,69.07525866800725
ADIG40,BT5,Pre-exposure,Heat-stressed,116.094,191.925,60.489253614693226
ADIG40,BT5,Pre-exposure,Heat-stressed,112.3,198.622,56.53955755153004
ADIG40,BT6,Pre-exposure,Control,119.502,174.251,68.58038117428306
ADIG40,BT6,Pre-exposure,Control,130.278,185.672,70.16566849067172
ADIG40,BT7,Pre-exposure,Heat-stressed,125.573,178.003,70.54544024538913
ADIG40,BT7,Pre-exposure,Heat-stressed,107.053,186.322,57.45590966176833
ADIG40,BT8,Pre-exposure,Control,123.177,174.425,70.61889064067651
ADIG40,BT8,Pre-exposure,Control,122.886,184.738,66.51907025084172
